Season;Data;Phase;Night;Part_night;Channel;Time;Event_V;Quantity;Toys
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:02:08;bc;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:03:26;bna.usl.bda.t.d;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:06:55;a.bl.i.d;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:07:43;d.a;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:07:45;a.sl.n;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:07:48;d;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:07:50;v.bl.v;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:14:29;a;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:15:35;a.ubl.a;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:15:40;v.bt.usl.bt.v;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:15:45;v.ubl.v;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:15:49;v;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:16:19;w;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:16:23;v.bt;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:16:26;a.l.d;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:16:48;bl;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:17:01;a.t;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:17:05;bt.bl.n;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:17:09;bd.ubo.ubo.a.l.a;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:17:20;d.bl.ubl.bc;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:17:33;v;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:18:12;v.bt;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:18:17;c;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:18:18;bv.bt;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:18:22;bd;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:18:58;v.bl.bl;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:19:05;bn.bl.a/a.bl.a.p;2;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:19:17;a;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:19:21;v;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:19:23;w.w;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:19:25;d.bt.o.l.d;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:19:56;a;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:20:23;d.a;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:20:31;v.bt;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:20:33;bt.a/bc.n;2;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:21:29;e;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:21:47;bl/bl.p;2;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:21:52;bl;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:21:56;d.v;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:21:57;bc.n;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:22:57;v.n;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:23:36;bt;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:24:38;a;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:25:51;ba.bl;1;0
KRAJANOW_I;24-05-2012;A;0;1;ch1;21:25:54;bt.v.bl.v;1;0
