Date;Sunrise;Sunset;Month_year;
01 Sun;07:55:34;15:59:41;sty-12;
02 Mon;07:55:30;16:00:43;sty-12;
03 Tue;07:55:23;16:01:47;sty-12;
04 Wed;07:55:12;16:02:53;sty-12;
05 Thu;07:54:58;16:04:02;sty-12;
06 Fri;07:54:42;16:05:14;sty-12;
07 Sat;07:54:21;16:06:27;sty-12;
08 Sun;07:53:58;16:07:43;sty-12;
09 Mon;07:53:32;16:09:01;sty-12;
10 Tue;07:53:03;16:10:21;sty-12;
11 Wed;07:52:30;16:11:43;sty-12;
12 Thu;07:51:55;16:13:06;sty-12;
13 Fri;07:51:16;16:14:32;sty-12;
14 Sat;07:50:35;16:15:59;sty-12;
15 Sun;07:49:50;16:17:28;sty-12;
16 Mon;07:49:03;16:18:58;sty-12;
17 Tue;07:48:13;16:20:30;sty-12;
18 Wed;07:47:20;16:22:03;sty-12;
19 Thu;07:46:25;16:23:37;sty-12;
20 Fri;07:45:26;16:25:13;sty-12;
21 Sat;07:44:26;16:26:50;sty-12;
22 Sun;07:43:22;16:28:27;sty-12;
23 Mon;07:42:16;16:30:06;sty-12;
24 Tue;07:41:08;16:31:46;sty-12;
25 Wed;07:39:57;16:33:26;sty-12;
26 Thu;07:38:44;16:35:08;sty-12;
27 Fri;07:37:28;16:36:50;sty-12;
28 Sat;07:36:10;16:38:32;sty-12;
29 Sun;07:34:50;16:40:15;sty-12;
30 Mon;07:33:28;16:41:59;sty-12;
31 Tue;07:32:04;16:43:43;sty-12;
01 Wed;07:30:38;16:45:28;lut-12;
02 Thu;07:29:09;16:47:13;lut-12;
03 Fri;07:27:39;16:48:58;lut-12;
04 Sat;07:26:07;16:50:44;lut-12;
05 Sun;07:24:33;16:52:29;lut-12;
06 Mon;07:22:57;16:54:15;lut-12;
07 Tue;07:21:19;16:56:01;lut-12;
08 Wed;07:19:40;16:57:47;lut-12;
09 Thu;07:17:59;16:59:34;lut-12;
10 Fri;07:16:17;17:01:20;lut-12;
11 Sat;07:14:32;17:03:06;lut-12;
12 Sun;07:12:47;17:04:52;lut-12;
13 Mon;07:11:00;17:06:38;lut-12;
14 Tue;07:09:11;17:08:24;lut-12;
15 Wed;07:07:22;17:10:10;lut-12;
