"","Data","Season","Night","Channel","Time","Event_V","Quantity","Toys","Date_time","godzina","pora_dnia","a","l","t","r","p","c","d","f","n","e","u","g","h","i","k","o","w","v","ilosc_elementow"
"1","17.05.2012","Jablow_1",1,"Ch1","21:00:08","a.l.a.",1,0,2012-05-17 21:00:08,21,"wieczor",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2","17.05.2012","Jablow_1",1,"Ch1","21:10:29","a.",1,0,2012-05-17 21:10:29,21,"wieczor",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3","17.05.2012","Jablow_1",1,"Ch1","21:18:36","a.t.n.",1,0,2012-05-17 21:18:36,21,"wieczor",1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"4","17.05.2012","Jablow_1",1,"Ch1","21:20:11","w",1,0,2012-05-17 21:20:11,21,"wieczor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"5","17.05.2012","Jablow_1",1,"Ch1","21:20:16","l",1,0,2012-05-17 21:20:16,21,"wieczor",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"6","17.05.2012","Jablow_1",1,"Ch1","21:20:40","v.l.a.t.d",1,0,2012-05-17 21:20:40,21,"wieczor",1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
"7","17.05.2012","Jablow_1",1,"Ch1","21:33:40","a.n",1,0,2012-05-17 21:33:40,21,"wieczor",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"8","17.05.2012","Jablow_1",1,"Ch1","21:51:05","v",1,0,2012-05-17 21:51:05,21,"wieczor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"9","17.05.2012","Jablow_1",1,"KAM2","21:00:04","v.t.a.t.v.",1,0,2012-05-17 21:00:04,21,"wieczor",1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5
"10","17.05.2012","Jablow_1",1,"KAM2","21:07:07","v.t.n.",1,0,2012-05-17 21:07:07,21,"wieczor",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3
"11","17.05.2012","Jablow_1",1,"KAM2","21:12:19","v",1,0,2012-05-17 21:12:19,21,"wieczor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"12","17.05.2012","Jablow_1",1,"KAM2","21:13:22","d.a.l.a.t.n",1,0,2012-05-17 21:13:22,21,"wieczor",2,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"13","17.05.2012","Jablow_1",1,"KAM2","21:14:51","d.a.",1,0,2012-05-17 21:14:51,21,"wieczor",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"14","17.05.2012","Jablow_1",1,"KAM2","21:15:27","a",1,0,2012-05-17 21:15:27,21,"wieczor",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15","17.05.2012","Jablow_1",1,"KAM2","21:16:46","v",1,0,2012-05-17 21:16:46,21,"wieczor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"16","17.05.2012","Jablow_1",1,"KAM2","21:16:52","v.a.t.a.",1,0,2012-05-17 21:16:52,21,"wieczor",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
"17","17.05.2012","Jablow_1",1,"KAM2","21:19:23","a.l.c.t.n.",1,0,2012-05-17 21:19:23,21,"wieczor",1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"18","17.05.2012","Jablow_1",1,"KAM2","21:27:12","a.t.n.",1,0,2012-05-17 21:27:12,21,"wieczor",1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"19","17.05.2012","Jablow_1",1,"KAM2","21:28:09","a",1,0,2012-05-17 21:28:09,21,"wieczor",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"20","17.05.2012","Jablow_1",1,"KAM2","21:28:12","c.",1,0,2012-05-17 21:28:12,21,"wieczor",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"21","17.05.2012","Jablow_1",1,"KAM2","21:29:05","a.n.",1,0,2012-05-17 21:29:05,21,"wieczor",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"22","17.05.2012","Jablow_1",1,"KAM2","21:29:24","d.v.r.a.",1,0,2012-05-17 21:29:24,21,"wieczor",1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
"23","17.05.2012","Jablow_1",1,"KAM2","21:29:51","a.t.a.",1,0,2012-05-17 21:29:51,21,"wieczor",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"24","17.05.2012","Jablow_1",1,"KAM2","21:33:37","a",1,0,2012-05-17 21:33:37,21,"wieczor",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"25","17.05.2012","Jablow_1",1,"KAM2","21:34:57","a.l.a.",1,0,2012-05-17 21:34:57,21,"wieczor",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"26","17.05.2012","Jablow_1",1,"KAM2","21:35:44","d.t.a.v.",1,0,2012-05-17 21:35:44,21,"wieczor",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
"27","17.05.2012","Jablow_1",1,"KAM2","21:43:27","a.n.",1,0,2012-05-17 21:43:27,21,"wieczor",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"28","18.05.2012","Jablow_1",1,"Ch1","03:07:45","a.n.",1,0,2012-05-18 03:07:45,3,"rano",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"29","18.05.2012","Jablow_1",1,"Ch1","03:09:23","a.d. ",1,0,2012-05-18 03:09:23,3,"rano",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"30","18.05.2012","Jablow_1",1,"Ch1","03:09:47","a.c.",1,0,2012-05-18 03:09:47,3,"rano",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"31","18.05.2012","Jablow_1",1,"Ch1","03:26:10","a.l.a.",1,0,2012-05-18 03:26:10,3,"rano",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"32","18.05.2012","Jablow_1",1,"Ch1","03:52:54","a.n.",1,0,2012-05-18 03:52:54,3,"rano",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"33","18.05.2012","Jablow_1",1,"Ch1","03:58:13","a.n.",1,0,2012-05-18 03:58:13,3,"rano",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"34","18.05.2012","Jablow_1",1,"KAM2","03:07:41","n.l.a.",1,0,2012-05-18 03:07:41,3,"rano",1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"35","18.05.2012","Jablow_1",1,"KAM2","03:09:18","a.",1,0,2012-05-18 03:09:18,3,"rano",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"36","18.05.2012","Jablow_1",1,"KAM2","03:09:21","d.a.v.",1,0,2012-05-18 03:09:21,3,"rano",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
"37","18.05.2012","Jablow_1",1,"KAM2","03:18:19","a.c.v.t.a.n.",1,0,2012-05-18 03:18:19,3,"rano",2,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6
"38","18.05.2012","Jablow_1",1,"KAM2","03:26:07","d.a.",1,0,2012-05-18 03:26:07,3,"rano",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"39","18.05.2012","Jablow_1",1,"KAM2","03:26:13","a.t.a.t.v.r.v.a.v.r.",1,0,2012-05-18 03:26:13,3,"rano",3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10
"40","18.05.2012","Jablow_1",1,"KAM2","03:50:42","a.t.v.d.",1,0,2012-05-18 03:50:42,3,"rano",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
"41","18.05.2012","Jablow_1",1,"KAM2","03:51:50","a.t.a.r.o.a.l.c.t.r.",1,0,2012-05-18 03:51:50,3,"rano",3,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,10
"42","18.05.2012","Jablow_1",1,"KAM2","03:52:33","a.l.a.n.",1,0,2012-05-18 03:52:33,3,"rano",2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"43","18.05.2012","Jablow_1",1,"KAM2","03:52:39","d.t.r.v.n.",1,0,2012-05-18 03:52:39,3,"rano",NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5
"44","18.05.2012","Jablow_1",1,"KAM2","03:52:50","d.a.t.c.a.",1,0,2012-05-18 03:52:50,3,"rano",2,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"45","18.05.2012","Jablow_1",1,"KAM2","03:55:08","w",1,0,2012-05-18 03:55:08,3,"rano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"46","18.05.2012","Jablow_1",1,"KAM2","03:55:10","d.a.",1,0,2012-05-18 03:55:10,3,"rano",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"47","18.05.2012","Jablow_1",1,"KAM2","03:57:34","a.t.c.n.",1,0,2012-05-18 03:57:34,3,"rano",1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
